Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage,Precision
eil51,51,Twice Around the Tree,752.9811180392962,0.003608,ignored,1.77
eil51,51,Christofides,473.8043991033243,0.011471,ignored,1.11
berlin52,52,Twice Around the Tree,12163.261083281763,0.002995,ignored,1.61
berlin52,52,Christofides,8530.003701414455,0.010829,ignored,1.13
st70,70,Twice Around the Tree,1132.4138856166533,0.005546,ignored,1.68
st70,70,Christofides,748.1037914962235,0.026172,ignored,1.11
eil76,76,Twice Around the Tree,944.6613585291241,0.006068,ignored,1.76
eil76,76,Christofides,616.3497939410645,0.0357,ignored,1.15
pr76,76,Twice Around the Tree,174435.5986281863,0.006604,ignored,1.61
pr76,76,Christofides,112162.20873441538,0.016251,ignored,1.04
rat99,99,Twice Around the Tree,2229.46035079504,0.009769,ignored,1.84
rat99,99,Christofides,1350.4319787224756,0.039654,ignored,1.12
kroA100,100,Twice Around the Tree,37544.34640840174,0.010071,ignored,1.76
kroA100,100,Christofides,22990.432181602817,0.052468,ignored,1.08
kroB100,100,Twice Around the Tree,38513.919067745774,0.008786,ignored,1.74
kroB100,100,Christofides,23859.69862291333,0.035719,ignored,1.08
kroC100,100,Twice Around the Tree,36804.647617814626,0.010018,ignored,1.77
kroC100,100,Christofides,23253.258304489744,0.046999,ignored,1.12
kroD100,100,Twice Around the Tree,37193.43128017248,0.009938,ignored,1.75
kroD100,100,Christofides,23237.34445402607,0.046815,ignored,1.09
kroE100,100,Twice Around the Tree,38448.79012758631,0.009527,ignored,1.74
kroE100,100,Christofides,23595.67123532423,0.062837,ignored,1.07
rd100,100,Twice Around the Tree,13926.548640416868,0.009901,ignored,1.76
rd100,100,Christofides,8817.76306549462,0.080611,ignored,1.11
eil101,101,Twice Around the Tree,1124.5145244224475,0.009378,ignored,1.79
eil101,101,Christofides,716.672870256259,0.069789,ignored,1.14
lin105,105,Twice Around the Tree,26120.885288625614,0.009983,ignored,1.82
lin105,105,Christofides,16292.675799681514,0.074214,ignored,1.13
pr107,107,Twice Around the Tree,69514.92767519629,0.00954,ignored,1.57
pr107,107,Christofides,47494.18468460625,0.033838,ignored,1.07
pr124,124,Twice Around the Tree,101070.9462612498,0.012701,ignored,1.71
pr124,124,Christofides,64125.69864117384,0.028589,ignored,1.09
bier127,127,Twice Around the Tree,189435.2285537435,0.013091,ignored,1.6
bier127,127,Christofides,132038.0020423744,0.120703,ignored,1.12
ch130,130,Twice Around the Tree,10328.105599922026,0.013861,ignored,1.69
ch130,130,Christofides,6687.004569175432,0.067547,ignored,1.09
pr136,136,Twice Around the Tree,177932.35452113333,0.017061,ignored,1.84
pr136,136,Christofides,102771.61182382496,0.028491,ignored,1.06
pr144,144,Twice Around the Tree,98928.91001854536,0.016722,ignored,1.69
pr144,144,Christofides,70101.14297060766,0.033656,ignored,1.2
ch150,150,Twice Around the Tree,11761.911661719738,0.022004,ignored,1.8
ch150,150,Christofides,7090.9970964831855,0.081953,ignored,1.09
kroA150,150,Twice Around the Tree,47114.79534148968,0.02427,ignored,1.78
kroA150,150,Christofides,29400.229548638436,0.191724,ignored,1.11
kroB150,150,Twice Around the Tree,45608.43396933002,0.020501,ignored,1.75
kroB150,150,Christofides,29838.51484633528,0.194755,ignored,1.14
pr152,152,Twice Around the Tree,118336.89296684194,0.049883,ignored,1.61
