Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage
eil51,51,Christofides,473.8043991033243,0.012071,57.44921875
berlin52,52,Christofides,8530.003701414455,0.009937,58.19921875
st70,70,Christofides,748.1037914962235,0.025744,59.19921875
eil76,76,Christofides,616.3497939410645,0.034023,60.07421875
pr76,76,Christofides,112162.20873441538,0.01662,60.32421875
rat99,99,Christofides,1350.4319787224756,0.038069,62.44921875
kroA100,100,Christofides,22990.432181602817,0.051044,62.44921875
kroB100,100,Christofides,23859.69862291333,0.033656,62.57421875
kroC100,100,Christofides,23253.258304489744,0.046102,63.82421875
kroD100,100,Christofides,23237.34445402607,0.046809,65.69921875
kroE100,100,Christofides,23595.67123532423,0.062131,66.94921875
rd100,100,Christofides,8817.76306549462,0.075029,66.94921875
eil101,101,Christofides,716.672870256259,0.067547,67.32421875
lin105,105,Christofides,16292.675799681514,0.047599,67.32421875
pr107,107,Christofides,47494.18468460625,0.038157,67.32421875
pr124,124,Christofides,64125.69864117384,0.030553,67.32421875
bier127,127,Christofides,132038.0020423744,0.128346,67.32421875
ch130,130,Christofides,6687.004569175432,0.066196,67.46875
pr136,136,Christofides,102771.61182382496,0.030748,67.46875
pr144,144,Christofides,70101.14297060766,0.029442,67.46875
ch150,150,Christofides,7090.9970964831855,0.075871,66.5078125
kroA150,150,Christofides,29400.229548638436,0.169319,68.7578125
kroB150,150,Christofides,29838.51484633528,0.183606,68.5234375
pr152,152,Christofides,77591.40844650491,0.026845,69.1484375
u159,159,Christofides,46881.716326240356,0.099065,68.5390625
rat195,195,Christofides,2597.0952220519634,0.227893,71.2890625
d198,198,Christofides,15667.940767319324,0.261865,70.35546875
kroA200,200,Christofides,33413.60208129192,0.348716,71.98046875
kroB200,200,Christofides,32768.84047256104,0.274067,72.73046875
ts225,225,Christofides,132782.1703627935,0.06116,76.35546875
tsp225,225,Christofides,4347.502889600349,0.255287,76.35546875
pr226,226,Christofides,91130.56120603887,0.199745,75.91796875
gil262,262,Christofides,2682.6243630467384,0.595743,79.32421875
pr264,264,Christofides,54563.602434274835,0.240777,81.91015625
a280,280,Christofides,2933.300093453049,0.432218,82.5
pr299,299,Christofides,51848.540372197946,0.631897,80.43359375
lin318,318,Christofides,47228.75653586447,0.795092,81.0
linhp318,318,Christofides,47228.75653586447,0.794387,84.51171875
rd400,400,Christofides,17475.13519685324,2.357107,92.2421875
