Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage,Precision
eil51,51,Christofides,473.8043991033243,0.011328,57.2890625,1.11
berlin52,52,Christofides,8530.003701414455,0.010532,58.0390625,1.13
st70,70,Christofides,748.1037914962235,0.026513,59.0390625,1.11
eil76,76,Christofides,616.3497939410645,0.036698,59.9140625,1.15
pr76,76,Christofides,112162.20873441538,0.016537,60.4140625,1.04
rat99,99,Christofides,1350.4319787224756,0.038738,62.2890625,1.12
kroA100,100,Christofides,22990.432181602817,0.048715,62.2890625,1.08
kroB100,100,Christofides,23859.69862291333,0.037074,62.4140625,1.08
kroC100,100,Christofides,23253.258304489744,0.05023,63.6640625,1.12
kroD100,100,Christofides,23237.34445402607,0.049783,65.2890625,1.09
kroE100,100,Christofides,23595.67123532423,0.066572,65.921875,1.07
rd100,100,Christofides,8817.76306549462,0.08621,66.421875,1.11
eil101,101,Christofides,716.672870256259,0.070135,66.546875,1.14
lin105,105,Christofides,16292.675799681514,0.052547,66.546875,1.13
pr107,107,Christofides,47494.18468460625,0.038653,66.546875,1.07
pr124,124,Christofides,64125.69864117384,0.030264,66.546875,1.09
bier127,127,Christofides,132038.0020423744,0.132944,66.546875,1.12
ch130,130,Christofides,6687.004569175432,0.070981,67.22265625,1.09
pr136,136,Christofides,102771.61182382496,0.029823,67.22265625,1.06
pr144,144,Christofides,70101.14297060766,0.03142,67.47265625,1.2
ch150,150,Christofides,7090.9970964831855,0.080701,67.47265625,1.09
kroA150,150,Christofides,29400.229548638436,0.17551,68.47265625,1.11
kroB150,150,Christofides,29838.51484633528,0.184198,69.34765625,1.14
pr152,152,Christofides,77591.40844650491,0.028312,69.34765625,1.05
u159,159,Christofides,46881.716326240356,0.102833,68.5546875,1.11
rat195,195,Christofides,2597.0952220519634,0.224815,71.0546875,1.12
d198,198,Christofides,15667.940767319324,0.255833,69.16015625,0.99
kroA200,200,Christofides,33413.60208129192,0.350088,71.78515625,1.14
kroB200,200,Christofides,32768.84047256104,0.266899,72.53515625,1.11
ts225,225,Christofides,133782.1703627935,0.05933,76.28515625,1.06
tsp225,225,Christofides,4347.502889600349,0.251189,76.28515625,1.11
pr226,226,Christofides,91004.51199210256,0.197392,74.70703125,1.13
gil262,262,Christofides,2682.6243630467384,0.569747,78.109375,1.13
pr264,264,Christofides,54563.602434274835,0.197744,80.703125,1.11
a280,280,Christofides,2942.129931577734,0.466497,80.5078125,1.14
pr299,299,Christofides,51848.540372197946,0.60489,84.12890625,1.08
lin318,318,Christofides,47228.75653586447,0.774428,87.41796875,1.12
linhp318,318,Christofides,47228.75653586447,0.791065,89.25,1.14
rd400,400,Christofides,17475.13519685324,2.40337,97.46875,1.14
fl417,417,Christofides,13302.723353556174,1.001108,101.73046875,1.12
pr439,439,Christofides,119282.0359030051,1.038282,99.1328125,1.11
pcb442,442,Christofides,54211.0882139463,1.877342,101.0625,1.07
d493,493,Christofides,36479.27673045965,3.151316,111.953125,1.04
u574,574,Christofides,41302.30942669226,5.220933,120.4609375,1.12
rat575,575,Christofides,7784.0676533262285,5.797693,129.01953125,1.15
p654,654,Christofides,38660.95929046208,1.077619,139.17578125,1.12
d657,657,Christofides,53376.3510719868,7.792944,139.60546875,1.09
u724,724,Christofides,47802.28239762277,10.642869,164.4921875,1.14
rat783,783,Christofides,10077.320667040882,15.125581,187.33984375,1.14
pr1002,1002,Christofides,283814.4207008012,23.155785,254.8046875,1.1
u1060,1060,Christofides,248950.3758304191,31.251033,280.97265625,1.11
vm1084,1084,Christofides,260391.89952398586,16.159475,294.171875,1.09
pcb1173,1173,Christofides,63159.43218218887,28.579023,325.90234375,1.11
d1291,1291,Christofides,56658.00199754335,8.296777,375.5078125,1.12
rl1304,1304,Christofides,277903.1931053025,8.4374,374.4921875,1.1
rl1323,1323,Christofides,297922.1611593825,8.701786,387.98828125,1.1
nrw1379,1379,Christofides,63811.529764543724,103.313103,461.546875,1.13
fl1400,1400,Christofides,22609.855984513764,95.632003,495.94140625,1.12
u1432,1432,Christofides,171658.08218860067,33.697186,521.87890625,1.12
fl1577,1577,Christofides,24497.174654031944,20.638395,576.0703125,1.1
d1655,1655,Christofides,69032.15050664118,40.12657,625.80078125,1.11
vm1748,1748,Christofides,375577.8042177919,60.535866,693.4375,1.12
u1817,1817,Christofides,66595.82536491855,46.653498,729.5703125,1.16
rl1889,1889,Christofides,344217.35856791795,25.532212,799.1796875,1.09
d2103,2103,Christofides,83409.10879076687,8.243394,942.25,1.04
u2152,2152,Christofides,73816.1435683086,67.440028,983.3046875,1.15
u2319,2319,Christofides,272442.9082569911,254.7901,1135.98828125,1.16
pr2392,2392,Christofides,424859.9110514417,228.222265,1185.49609375,1.12
pcb3038,3038,Christofides,154179.8583439823,486.24397,1924.96484375,1.12
fl3795,3795,Christofides,30994.315422814772,473.029609,2939.32421875,1.08
fnl4461,4461,Christofides,206149.12095385604,2040.316232,3967.4609375,1.13
rl5915,5915,Christofides,617080.5109354067,304.536372,6378.37109375,1.09
