Dataset Name,Number of Nodes,Algorithm,Total Distance,Execution Time,Memory Usage,Precision
eil51,51,Twice Around the Tree,752.9811180392962,0.003607,56.953125,1.77
berlin52,52,Twice Around the Tree,12163.261083281763,0.002964,57.578125,1.61
st70,70,Twice Around the Tree,1132.4138856166533,0.005359,58.328125,1.68
eil76,76,Twice Around the Tree,944.6613585291241,0.00661,58.953125,1.76
pr76,76,Twice Around the Tree,174435.5986281863,0.005361,59.703125,1.61
rat99,99,Twice Around the Tree,2229.46035079504,0.008382,61.328125,1.84
kroA100,100,Twice Around the Tree,37544.34640840174,0.008685,61.828125,1.76
kroB100,100,Twice Around the Tree,38513.919067745774,0.008935,62.203125,1.74
kroC100,100,Twice Around the Tree,36804.647617814626,0.00866,63.203125,1.77
kroD100,100,Twice Around the Tree,37193.43128017248,0.008883,64.703125,1.75
kroE100,100,Twice Around the Tree,38448.79012758631,0.009158,66.078125,1.74
rd100,100,Twice Around the Tree,13926.548640416868,0.009534,66.078125,1.76
eil101,101,Twice Around the Tree,1124.5145244224475,0.009302,66.078125,1.79
lin105,105,Twice Around the Tree,26120.885288625614,0.010002,66.078125,1.82
pr107,107,Twice Around the Tree,69514.92767519629,0.010566,66.078125,1.57
pr124,124,Twice Around the Tree,101070.9462612498,0.013376,66.01171875,1.71
bier127,127,Twice Around the Tree,189435.2285537435,0.015075,66.01171875,1.6
ch130,130,Twice Around the Tree,10328.105599922026,0.015261,66.26171875,1.69
pr136,136,Twice Around the Tree,177932.35452113333,0.01576,66.26171875,1.84
pr144,144,Twice Around the Tree,98928.91001854536,0.017215,67.01171875,1.69
ch150,150,Twice Around the Tree,11761.911661719738,0.019515,67.01171875,1.8
kroA150,150,Twice Around the Tree,47114.79534148968,0.023792,67.13671875,1.78
kroB150,150,Twice Around the Tree,45608.43396933002,0.022474,67.13671875,1.75
pr152,152,Twice Around the Tree,118336.89296684194,0.022194,68.01171875,1.61
u159,159,Twice Around the Tree,74309.11476881456,0.023082,68.01171875,1.77
rat195,195,Twice Around the Tree,4329.58663098563,0.033492,70.38671875,1.86
d198,198,Twice Around the Tree,23534.22900884072,0.032994,71.13671875,1.49
kroA200,200,Twice Around the Tree,51865.16786521273,0.033956,71.13671875,1.77
kroB200,200,Twice Around the Tree,52407.30866768744,0.033262,71.13671875,1.78
ts225,225,Twice Around the Tree,224000.0,0.042495,72.09375,1.77
tsp225,225,Twice Around the Tree,7031.400469472143,0.043466,72.97265625,1.79
pr226,226,Twice Around the Tree,137279.9195455958,0.040397,73.42578125,1.71
gil262,262,Twice Around the Tree,4206.217170816099,0.101546,76.09765625,1.77
pr264,264,Twice Around the Tree,82284.48527031398,0.058465,78.890625,1.67
a280,280,Twice Around the Tree,4877.133481924452,0.102816,78.375,1.89
pr299,299,Twice Around the Tree,84986.47217959746,0.122196,83.0546875,1.76
lin318,318,Twice Around the Tree,75837.73219163908,0.133182,84.42578125,1.8
linhp318,318,Twice Around the Tree,75837.73219163908,0.124816,86.4453125,1.83
rd400,400,Twice Around the Tree,27263.48287754133,0.188114,95.4296875,1.78
fl417,417,Twice Around the Tree,20425.59373775439,0.192016,103.5859375,1.72
pr439,439,Twice Around the Tree,184387.8079685624,0.213695,100.3125,1.72
pcb442,442,Twice Around the Tree,92724.78106330859,0.222897,109.2421875,1.83
d493,493,Twice Around the Tree,58569.10196601602,0.313283,107.48046875,1.67
u574,574,Twice Around the Tree,64213.67365816696,0.38849,130.19921875,1.74
rat575,575,Twice Around the Tree,12524.853343776509,0.406506,121.40234375,1.85
p654,654,Twice Around the Tree,58912.78492877277,0.545358,145.0703125,1.7
d657,657,Twice Around the Tree,84981.21231163216,0.591872,140.390625,1.74
u724,724,Twice Around the Tree,75949.21740022718,0.683248,168.72265625,1.81
